quantile,quantile_t_mean,quantile_t_stdev,rank,rank_t_mean,rank_t_stdev
0.002,158.333,99.6205,1,66.6667,49.2366
0.003,83.3333,71.7741,1,55.5556,52.5872
0.004,133.333,65.1339,1,29.6296,45.537
0.005,91.6667,51.4929,1,19.1358,39.0633
0.006,166.667,210.339,1,26.5947,62.209
0.007,58.3333,66.8558,1,43.8829,51.5997
0.008,108.333,66.8558,1,45.3236,51.6797
0.009,91.6667,79.2961,1,37.1103,49.4419
0.01,75,62.1582,1,19.7592,39.1162
0.011,66.6667,65.1339,1,43.3133,51.5561
0.012,66.6667,65.1339,1,36.9428,49.4281
0.013,91.6667,66.8558,1,69.7452,49.387
0.014,83.3333,57.735,1,22.4788,39.4524
0.015,58.3333,66.8558,1,18.5399,39.0201
0.016,75,75.3778,1,51.545,52.2822
0.017,83.3333,57.735,1,12.6287,29.2953
0.018,66.6667,65.1339,1,26.0524,45.2695
0.019,66.6667,49.2366,1,18.8377,39.0437
0.02,191.667,246.644,1,51.5698,90.4879
0.021,108.333,79.2961,1,37.6308,49.5239
0.022,100,95.3463,1,19.8026,39.1201
0.023,75,45.2267,1,43.3169,51.5562
0.024,158.333,108.362,1,28.6097,45.4352
0.025,233.333,155.7,1,60.7175,51.5931
0.026,133.333,88.7625,1,30.0598,45.5859
0.027,83.3333,57.735,1,35.8383,49.3481
0.028,50,52.2233,1,27.9865,45.3836
0.029,66.6667,65.1339,1,35.6655,49.3386
0.03,58.3333,66.8558,1,27.9721,45.3826
0.031,100,112.815,1,27.331,45.3377
0.032,83.3333,71.7741,1,43.9443,51.5877
0.033,33.3333,49.2366,1,36.9954,49.4324
0.034,41.6667,51.4929,1,36.4163,49.3873
0.035,58.3333,79.2961,1,53.0347,52.3623
0.036,66.6667,49.2366,1,46.0862,51.7454
0.037,33.3333,65.1339,1,45.5072,51.6944
0.038,58.3333,66.8558,1,37.1256,49.4432
0.039,33.3333,49.2366,1,36.4271,49.388
0.04,125,121.543,1,36.3689,49.3841
0.041,50,52.2233,1,36.3641,49.3837
0.042,83.3333,146.68,1,53.0303,52.362
0.043,50,67.42,1,37.7525,49.5006
0.044,75,62.1582,1,28.146,45.3955
0.045,50,52.2233,1,44.0122,51.5911
0.046,100,60.3023,1,37.001,49.4329
0.047,33.3333,49.2366,1,44.7501,51.637
0.048,58.3333,66.8558,1,45.3958,51.6854
0.049,108.333,79.2961,1,45.4497,51.6897
0.05,158.333,66.8558,1,37.1208,49.4428
0.051,141.667,79.2961,1,28.0934,45.3915
0.052,175,181.534,1,60.6745,66.9313
0.053,100,60.3023,1,30.0562,45.6008
0.054,150,67.42,1,52.5047,52.3284
0.055,158.333,66.8558,1,62.7087,51.7412
0.056,158.333,66.8558,1,30.2257,45.6065
0.057,175,75.3778,1,60.8521,51.6002
0.058,141.667,66.8558,1,46.7377,51.8098
0.059,116.667,71.7741,1,37.2281,49.452
0.06,150,67.42,1,44.769,51.6383
0.061,191.667,197.523,1,70.3974,65.2863
0.062,158.333,51.4929,1,22.5331,39.4795
0.0629999,116.667,71.7741,1,43.5444,51.565
0.064,125,75.3778,1,70.2954,49.4297
0.065,108.333,66.8558,1,39.1913,49.6606
0.066,58.3333,66.8558,1,36.5993,49.4003
0.067,83.3333,57.735,1,44.7166,51.6348
0.068,125,160.255,1,28.7264,45.4455
0.069,1641.67,5435.15,1,35.7272,49.3419
0.07,75,45.2267,1,19.6439,39.1064
0.071,75,75.3778,1,43.3037,51.5557
0.072,83.3333,57.735,1,36.942,49.4281
