quantile,quantile_t_mean,quantile_t_stdev,rank,rank_t_mean,rank_t_stdev
0.002,83.3333,38.9249,4939,50,67.42
0.003,16.6667,38.9249,5903,87.5,39.2456
0.004,50,52.2233,6324,98.9583,29.9149
0.005,41.6667,51.4929,6556,124.913,39.9006
0.006,58.3333,51.4929,7665,135.409,76.1817
0.007,50,52.2233,8374,177.951,50.6959
0.008,50,52.2233,8914,123.163,32.8305
0.009,33.3333,49.2366,9549,118.597,52.6252
0.01,66.6667,49.2366,9855,126.55,40.3298
0.011,66.6667,49.2366,10622,202.212,52.6926
0.012,16.6667,38.9249,10957,225.184,69.1683
0.013,33.3333,49.2366,11263,285.432,68.0651
0.014,66.6667,201.509,11775,190.453,69.7554
0.015,33.3333,49.2366,11950,224.204,91.5816
0.016,58.3333,51.4929,12525,268.684,70.2467
0.017,33.3333,49.2366,12791,314.057,70.873
0.018,33.3333,49.2366,13015,242.838,47.632
0.019,58.3333,51.4929,13490,220.237,21.2385
0.02,41.6667,51.4929,13610,251.686,52.8548
0.021,41.6667,51.4929,15152,254.307,53.9346
0.022,16.6667,38.9249,15270,237.859,44.833
0.023,16.6667,38.9249,15460,286.488,53.4503
0.024,41.6667,51.4929,16079,298.874,79.4258
0.025,41.6667,51.4929,16551,408.24,46.8944
0.026,33.3333,49.2366,16991,300.687,60.7542
0.027,58.3333,51.4929,17519,350.057,67.4841
0.028,41.6667,51.4929,17675,370.838,73.513
0.029,33.3333,49.2366,18081,289.237,60.8278
0.03,16.6667,38.9249,18312,299.103,51.8146
0.031,50,52.2233,18523,324.925,50.0064
0.032,50,52.2233,18680,310.41,48.1614
0.033,58.3333,51.4929,18912,325.868,50.5225
0.034,66.6667,49.2366,19350,310.489,48.2101
0.035,33.3333,49.2366,19760,359.207,70.5488
0.036,41.6667,51.4929,20231,363.267,58.3794
0.037,16.6667,38.9249,20361,371.939,60.4694
0.038,25,45.2267,20511,380.995,61.4881
0.039,50,52.2233,20839,390.083,61.2926
0.04,75,45.2267,20859,399.174,59.8546
0.041,50,52.2233,20967,408.264,83.0324
0.042,58.3333,51.4929,21262,392.355,62.6242
0.043,8.33333,28.8675,21407,424.363,44.7801
0.044,25,45.2267,21668,460.364,83.9652
0.045,25,45.2267,22200,571.697,114.579
0.046,50,52.2233,22424,689.308,83.4036
0.047,25,45.2267,22515,490.776,77.6622
0.048,25,45.2267,22810,507.565,65.2381
0.049,25,45.2267,22914,475.63,78.7403
0.05,25,45.2267,22937,481.303,66.1248
0.051,66.6667,49.2366,23087,481.775,66.4264
0.052,25,45.2267,23266,481.815,66.4526
0.053,41.6667,51.4929,23344,523.485,71.4006
0.054,66.6667,49.2366,23482,543.624,45.6347
0.055,50,52.2233,23969,520.302,65.4862
0.056,25,45.2267,24031,510.025,66.9407
0.057,50,52.2233,24161,534.169,68.0312
0.058,50,52.2233,24300,552.847,69.4215
0.059,25,45.2267,24572,571.071,66.085
0.06,33.3333,49.2366,24705,589.256,83.3446
0.061,16.6667,38.9249,25170,549.105,99.5529
0.062,25,45.2267,25296,612.425,80.8436
0.0629999,50,52.2233,25372,601.035,85.9896
0.064,50,52.2233,25613,600.086,73.9715
0.065,41.6667,51.4929,25768,575.007,69.1393
0.066,33.3333,49.2366,25883,589.584,83.5511
0.067,66.6667,49.2366,25989,624.132,68.4577
0.068,8.33333,28.8675,26135,635.344,90.0489
0.069,33.3333,49.2366,26237,644.612,75.6158
0.07,66.6667,49.2366,26306,628.718,72.1127
0.071,41.6667,51.4929,26356,627.393,71.0394
0.072,58.3333,51.4929,26697,668.949,67.1088
0.073,58.3333,51.4929,26824,655.746,83.8604
0.074,25,45.2267,26939,671.312,69.1402
0.075,33.3333,49.2366,27334,697.609,77.9223
0.076,50,52.2233,27541,691.467,89.086
0.077,16.6667,38.9249,27865,815.956,192.849
0.078,58.3333,90.0337,28047,667.996,93.2615
0.079,58.3333,51.4929,28183,1022.33,106.149
0.08,58.3333,51.4929,28234,901.861,209.734
0.081,25,45.2267,28401,716.822,126.906
0.082,25,45.2267,28552,701.402,91.5091
0.083,83.3333,38.9249,28752,675.117,72.4602
0.084,25,45.2267,28950,739.593,82.4186
0.085,33.3333,49.2366,29174,753.299,82.4799
0.086,33.3333,49.2366,29216,762.775,98.7977
0.087,50,52.2233,29314,755.231,103.463
0.088,41.6667,51.4929,29348,754.603,93.809
0.089,58.3333,51.4929,29512,804.55,103.006
0.09,33.3333,49.2366,29596,958.713,213.884
0.091,58.3333,51.4929,29677,821.559,187.32
0.092,41.6667,51.4929,29741,818.463,196.893
0.093,41.6667,51.4929,29859,1143.21,204.166
0.094,16.6667,38.9249,30020,820.267,131.983
0.095,25,45.2267,30034,801.689,86.7957
0.096,16.6667,38.9249,30164,816.807,106.021
0.097,41.6667,51.4929,30259,1134.73,237.864
0.098,25,45.2267,30366,1302.89,119.357
0.099,66.6667,88.7625,30544,1200.24,239.459
0.1,41.6667,66.8558,30647,975.02,404.833
0.101,41.6667,51.4929,30748,847.918,115.323
0.102,16.6667,38.9249,30812,862.327,108.375
0.103,16.6667,38.9249,30917,880.194,117.257
0.104,33.3333,49.2366,31076,898.349,123.281
0.105,41.6667,51.4929,31217,891.529,106.191
0.106,41.6667,51.4929,31278,890.961,114.021
0.107,41.6667,51.4929,31360,865.913,102.439
0.108,33.3333,49.2366,31618,905.493,99.6598
0.109,33.3333,49.2366,31712,1042.12,403.968
0.11,50,52.2233,31742,945.177,112.844
0.111,50,52.2233,31841,953.765,103.159
0.112,41.6667,51.4929,31913,1162.81,250.921
0.113,33.3333,49.2366,32001,1763.57,406.716
0.114,33.3333,49.2366,32132,1146.96,411.161
0.115,50,52.2233,32244,962.247,111.48
0.116,25,45.2267,32318,955.187,120.518
0.117,58.3333,51.4929,32489,1771.27,461.748
0.118,41.6667,51.4929,32650,1722.61,218.343
0.119,58.3333,51.4929,32808,1676.88,168.999
0.12,33.3333,49.2366,32954,1073.07,165.465
0.121,33.3333,49.2366,33005,1014.42,134.375
