quantile,quantile_t_mean,quantile_t_stdev,rank,rank_t_mean,rank_t_stdev
0.002,175483,16218.1,17,7875,626.861
0.003,150475,3351.29,17,8706.25,1136.13
0.004,152192,3068.75,17,8683.85,807.176
0.005,151058,4386.02,17,8715.32,804.198
0.006,150075,1919.34,17,8576.28,792.036
0.007,149400,1952.15,17,8648.02,817.804
0.008,151425,8749.77,28,8595.67,919.272
0.009,154417,3193.98,28,8907.97,818.38
0.01,154050,2638.01,28,8767.33,787.169
0.011,153983,2559.06,28,8905.61,827.306
0.012,153683,3251.81,28,8775.47,832.12
0.013,153233,4848.68,28,8739.62,773.857
0.014,153258,2432.16,28,8711.64,773.57
0.015,155283,7979.73,32,10676,5302.79
0.016,156042,3546.95,32,8989.66,959.324
0.017,158117,5573.78,32,8882.47,808.035
0.018,153775,2976,32,8998.54,857.313
0.019,154567,2464.41,37,8899.88,840.923
0.02,155533,2845.2,37,8816.66,823.738
0.021,153842,4012.13,37,9009.72,824.682
0.022,155125,3512.61,37,8892.48,849.309
0.023,156925,5025.96,37,8807.71,812.247
0.024,153958,2334.51,37,8792.31,803.097
0.025,154975,4566.11,37,8791.03,791.548
0.026,154717,4292.66,50,8982.59,883.74
0.027,154867,3560.98,50,8823.55,800.414
0.028,157925,7831.3,50,9076.96,902.415
0.029,156225,6279.13,55,9023.08,900.177
0.03,155358,4250.02,65,9301.92,933.009
0.031,156100,4066.72,69,9450.16,864.129
0.032,155008,3071.71,73,9545.85,869.282
0.033,155133,3827.02,73,9503.82,947.899
0.034,155042,3687.93,73,9341.99,903.419
0.035,153858,3463.43,78,9278.5,865.166
0.036,153158,2373.51,85,9406.54,922.533
0.037,154375,2501.68,85,9650.55,919.544
0.038,153817,4245.39,85,9470.88,945.26
0.039,153792,2530.71,85,9472.57,848.121
0.04,152800,3538.36,86,9272.71,858.91
0.041,152700,2997.88,95,9589.39,869.838
0.042,152092,2537.88,97,9782.45,901.543
0.043,154533,4219.94,97,9681.87,943.025
0.044,153508,5668.01,97,9590.16,951.036
0.045,154025,2886.37,97,9607.51,917.228
0.046,153317,2624.65,97,9842.29,949.742
0.047,153750,2895.61,97,9703.52,919
0.048,154875,5055.53,97,9650.29,888.135
0.049,154500,5593.34,101,9570.86,887.706
0.05,154025,5270.52,107,9980.9,1026.51
0.051,153375,3528.87,112,10006.7,1031.55
0.052,152525,3155.69,118,10142.2,959.866
0.053,154242,5266.44,119,10203.5,1081.34
0.054,154008,4559.6,124,10217,994.701
0.055,154325,3477.49,129,10193.1,944.314
0.056,153183,3218.37,131,10266.1,913.328
0.057,152042,2267.74,134,9963.84,960.719
0.058,152408,2049.15,138,10180.3,973.473
0.059,153817,2076.64,142,10431.7,956.994
0.06,153558,2906.25,145,10261,976.007
0.061,153658,4650.21,146,10446.7,977.2
0.062,153542,2746.39,146,10437.2,985.448
0.0629999,152908,3248.06,146,10486.4,1019.61
0.064,154417,3686.3,146,10407.2,1058.79
0.065,152625,3153.1,149,10392.3,969.976
