quantile,real_quantile,estimated_quantile,rank,real_rank,estimated_rank
0,68,995,68,1,0
0.001,231,1117,231,35,0
0.002,258,1117,258,68,0
0.003,295,1117,295,100,0
0.004,326,1117,326,133,0
0.005,346,1117,346,166,0
0.006,364,1117,364,200,0
0.007,385,1117,385,232,0
0.008,408,1117,408,269,0
0.009,424,1117,424,298,0
0.01,453,1117,453,331,0
0.011,472,1117,472,367,0
0.012,489,1117,489,396,0
0.013,510,1117,510,430,0
0.014,532,1117,532,462,0
0.015,551,1117,551,496,0
0.016,575,1117,575,530,0
0.017,596,1117,596,562,0
0.018,611,1117,611,596,0
0.019,626,1117,626,627,0
0.02,641,1117,641,663,0
0.021,652,1117,652,692,0
0.022,671,1117,671,726,0
0.023,685,1117,685,758,0
0.024,699,1117,699,791,0
0.025,719,1117,719,824,0
0.026,737,1117,737,857,0
0.027,752,1117,752,891,0
0.028,766,1117,766,925,0
0.029,780,1117,780,955,0
0.03,796,1117,796,990,0
0.031,805,1117,805,1022,0
0.032,815,1117,815,1054,0
0.033,827,1117,827,1088,0
0.034,841,1117,841,1121,0
0.035,854,1117,854,1154,0
0.036,869,1117,869,1186,0
0.037,888,1117,888,1219,0
0.038,897,1117,897,1253,0
0.039,909,1117,909,1284,0
0.04,920,1117,920,1321,0
0.041,929,1117,929,1351,0
0.042,943,1117,943,1386,0
0.043,953,1117,953,1417,0
0.044,964,1117,964,1451,0
0.045,973,1117,973,1484,0
0.046,985,1117,985,1517,0
0.047,995,1117,995,1549,7
0.048,1007,1117,1007,1587,7
0.049,1019,1117,1019,1615,7
0.05,1029,1117,1029,1651,7
0.051,1039,1117,1039,1679,7
0.052,1048,1117,1048,1712,7
0.053,1055,1117,1055,1745,13
0.054,1070,1117,1070,1781,13
0.055,1079,1117,1079,1811,13
0.056,1090,1117,1090,1847,13
0.057,1099,1117,1099,1879,13
0.058,1108,1117,1108,1909,13
0.059,1117,1117,1117,1944,1037
0.06,1126,1118,1126,1975,1045
0.061,1136,1199,1136,2008,1045
0.062,1147,1408,1147,2044,1045
0.063,1155,1504,1155,2074,1045
0.064,1163,1526,1163,2110,1052
0.065,1172,1605,1172,2141,1052
0.066,1182,1613,1182,2173,1052
0.067,1189,1613,1189,2206,1052
0.068,1197,1613,1197,2241,1058
0.069,1205,1613,1205,2274,1063
0.07,1216,1613,1216,2305,1063
0.071,1225,1613,1225,2337,1063
0.072,1233,1613,1233,2372,1063
0.073,1240,1613,1240,2404,1063
0.074,1247,1613,1247,2436,1063
0.075,1254,1613,1254,2471,1063
0.076,1261,1613,1261,2503,1068
0.077,1267,1613,1267,2534,1068
0.078,1277,1613,1277,2567,1068
0.079,1286,1613,1286,2604,1068
0.08,1297,1613,1297,2635,1068
0.081,1305,1613,1305,2673,1068
0.082,1312,1613,1312,2699,1068
0.083,1320,1613,1320,2736,1068
0.084,1327,1613,1327,2765,1068
0.085,1335,1613,1335,2798,1068
0.086,1342,1613,1342,2831,1068
0.087,1348,1613,1348,2870,1068
0.088,1354,1613,1354,2898,1075
0.089,1360,1613,1360,2930,1075
0.09,1367,1613,1367,2962,1075
0.091,1374,1613,1374,2998,1075
0.092,1381,1613,1381,3032,1075
0.093,1386,1613,1386,3061,1075
0.094,1393,1613,1393,3097,1075
0.095,1401,1613,1401,3130,1075
0.096,1409,1613,1409,3160,1081
0.097,1415,1613,1415,3193,1081
0.098,1424,1613,1424,3225,1081
0.099,1435,1613,1435,3258,1081
0.1,1444,1613,1444,3292,1081
0.101,1452,1613,1452,3328,1086
0.102,1459,1613,1459,3358,1086
0.103,1466,1613,1466,3394,1086
0.104,1471,1613,1471,3423,1086
0.105,1478,1613,1478,3459,1086
0.106,1484,1613,1484,3492,1094
0.107,1491,1613,1491,3526,1094
0.108,1500,1613,1500,3556,1094
0.109,1508,1613,1508,3589,1101
0.11,1515,1613,1515,3620,1107
0.111,1523,1613,1523,3656,1107
0.112,1531,1613,1531,3687,1115
0.113,1540,1613,1540,3720,1115
0.114,1545,1613,1545,3753,1125
0.115,1551,1613,1551,3785,1125
0.116,1558,1613,1558,3819,1125
0.117,1565,1613,1565,3856,1125
0.118,1572,1613,1572,3888,1125
0.119,1578,1613,1578,3917,1125
0.12,1586,1613,1586,3957,1125
0.121,1591,1613,1591,3982,1125
0.122,1598,1613,1598,4018,1125
0.123,1603,1613,1603,4049,1125
0.124,1608,1613,1608,4082,1132
0.125,1614,1720,1614,4119,2156
0.126,1619,1839,1619,4151,2156
0.127,1626,1890,1626,4181,2156
0.128,1632,1939,1632,4212,2156
0.129,1639,2002,1639,4245,2156
0.13,1647,2002,1647,4285,2156
0.131,1651,2002,1651,4311,2164
0.132,1658,2002,1658,4345,2164
0.133,1666,2002,1666,4378,2164
0.134,1671,2002,1671,4416,2171
0.135,1677,2002,1677,4445,2171
0.136,1683,2002,1683,4476,2171
0.137,1691,2002,1691,4510,2171
0.138,1698,2002,1698,4541,2171
0.139,1705,2002,1705,4577,2171
0.14,1710,2002,1710,4610,2171
0.141,1716,2002,1716,4644,2171
0.142,1722,2002,1722,4677,2177
0.143,1729,2002,1729,4707,2177
0.144,1737,2002,1737,4741,2177
0.145,1742,2002,1742,4775,2177
0.146,1749,2002,1749,4807,2177
0.147,1756,2002,1756,4841,2177
0.148,1763,2002,1763,4874,2177
0.149,1768,2002,1768,4908,2186
0.15,1775,2002,1775,4936,2186
0.151,1782,2002,1782,4971,2186
0.152,1788,2002,1788,5003,2186
0.153,1797,2002,1797,5037,2186
0.154,1802,2002,1802,5067,2186
0.155,1810,2002,1810,5101,2186
0.156,1816,2002,1816,5135,2186
0.157,1821,2002,1821,5170,2186
0.158,1828,2002,1828,5200,2186
0.159,1837,2002,1837,5234,2186
0.16,1843,2002,1843,5266,2192
0.161,1850,2002,1850,5303,2192
0.162,1855,2002,1855,5337,2192
0.163,1861,2002,1861,5366,2192
0.164,1866,2002,1866,5398,2199
0.165,1873,2002,1873,5437,2199
0.166,1879,2002,1879,5464,2199
0.167,1885,2002,1885,5496,2199
0.168,1891,2002,1891,5535,2206
0.169,1897,2002,1897,5562,2206
0.17,1903,2002,1903,5597,2206
0.171,1910,2002,1910,5629,2206
0.172,1915,2002,1915,5662,2222
0.173,1920,2002,1920,5694,2222
0.174,1925,2002,1925,5726,2222
0.175,1933,2002,1933,5760,2222
0.176,1938,2002,1938,5793,2222
0.177,1945,2002,1945,5828,2228
0.178,1953,2002,1953,5857,2228
0.179,1958,2002,1958,5894,2228
0.18,1964,2002,1964,5926,2228
0.181,1971,2002,1971,5957,2228
0.182,1979,2002,1979,5990,2228
0.183,1985,2002,1985,6026,2228
0.184,1989,2002,1989,6056,2235
0.185,1996,2002,1996,6088,2235
0.186,2003,2002,2003,6125,3259
0.187,2008,2002,2008,6158,3259
0.188,2013,2087,2013,6191,3259
0.189,2019,2202,2019,6222,3259
0.19,2028,2228,2028,6253,3259
0.191,2035,2275,2035,6291,3259
0.192,2040,2336,2040,6321,3259
0.193,2047,2353,2047,6353,3259
0.194,2053,2353,2053,6383,3259
0.195,2061,2353,2061,6416,3259
0.196,2066,2353,2066,6450,3259
0.197,2073,2353,2073,6486,3259
0.198,2078,2353,2078,6518,3259
0.199,2087,2353,2087,6556,3268
0.2,2091,2353,2091,6582,3268
0.201,2096,2353,2096,6619,3273
0.202,2100,2353,2100,6648,3278
0.203,2105,2353,2105,6684,3278
0.204,2113,2353,2113,6716,3278
0.205,2118,2353,2118,6745,3278
0.206,2125,2353,2125,6780,3278
0.207,2131,2353,2131,6814,3278
0.208,2137,2353,2137,6850,3278
0.209,2142,2353,2142,6878,3278
0.21,2147,2353,2147,6915,3278
0.211,2152,2353,2152,6949,3278
0.212,2159,2353,2159,6978,3278
0.213,2165,2353,2165,7011,3278
0.214,2173,2353,2173,7049,3278
0.215,2178,2353,2178,7079,3278
0.216,2183,2353,2183,7112,3278
0.217,2189,2353,2189,7145,3278
0.218,2195,2353,2195,7174,3278
0.219,2201,2353,2201,7209,3278
0.22,2206,2353,2206,7239,3288
0.221,2215,2353,2215,7273,3288
0.222,2219,2353,2219,7304,3294
0.223,2225,2353,2225,7338,3294
0.224,2232,2353,2232,7373,3302
0.225,2238,2353,2238,7404,3302
0.226,2244,2353,2244,7437,3311
0.227,2249,2353,2249,7471,3311
0.228,2255,2353,2255,7505,3311
0.229,2261,2353,2261,7544,3311
0.23,2266,2353,2266,7573,3311
0.231,2272,2353,2272,7601,3311
0.232,2277,2353,2277,7636,3318
0.233,2283,2353,2283,7671,3318
0.234,2287,2353,2287,7699,3324
0.235,2293,2353,2293,7737,3324
0.236,2298,2353,2298,7767,3324
0.237,2305,2353,2305,7800,3324
0.238,2311,2353,2311,7836,3324
0.239,2316,2353,2316,7870,3324
0.24,2320,2353,2320,7901,3324
0.241,2324,2353,2324,7932,3330
0.242,2330,2353,2330,7966,3330
0.243,2336,2353,2336,7999,3337
0.244,2340,2353,2340,8029,3337
0.245,2347,2353,2347,8064,3342
0.246,2355,2353,2355,8098,4366
0.247,2360,2353,2360,8127,4366
0.248,2366,2353,2366,8168,4366
0.249,2370,2353,2370,8194,4366
0.25,2376,2353,2376,8229,4366
0.251,2381,2353,2381,8268,4366
0.252,2386,2447,2386,8293,4366
0.253,2392,2551,2392,8327,4366
0.254,2398,2695,2398,8361,4366
0.255,2402,2695,2402,8394,4366
0.256,2408,2695,2408,8423,4366
0.257,2414,2695,2414,8459,4366
0.258,2421,2695,2421,8491,4366
0.259,2426,2695,2426,8523,4366
0.26,2433,2695,2433,8557,4366
0.261,2438,2695,2438,8590,4366
0.262,2443,2695,2443,8620,4366
0.263,2448,2695,2448,8659,4377
0.264,2452,2695,2452,8689,4377
0.265,2458,2695,2458,8725,4377
0.266,2462,2695,2462,8753,4377
0.267,2472,2695,2472,8786,4377
0.268,2477,2695,2477,8821,4377
0.269,2483,2695,2483,8853,4377
0.27,2487,2695,2487,8887,4377
0.271,2492,2695,2492,8919,4377
0.272,2497,2695,2497,8950,4377
0.273,2505,2695,2505,8983,4377
0.274,2511,2695,2511,9017,4377
